                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0608,                 2.9351,                  1.384,                0.33803,                0.44894,                0.38996,                0.28202,                0.91739,                 1.7716,                 1.2231,              0.0033199,              0.0033199,              0.0033199
                      2,                0.90546,                 1.7495,                 1.2058,                0.48186,                0.54107,                0.52092,                0.39631,                0.88044,                  1.375,                 1.1687,              0.0066466,              0.0066466,              0.0066466
                      3,                0.94806,                 1.6668,                 1.2278,                0.38976,                0.44989,                0.38139,                0.26545,                 1.0633,                 1.8403,                 1.3539,              0.0099668,              0.0099668,              0.0099668
                      4,                 1.0239,                 1.7229,                 1.2802,                0.46602,                0.50673,                0.46803,                0.33234,                 1.0902,                  1.676,                 1.3751,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.019,                  1.664,                 1.2815,                0.51599,                 0.5376,                0.54381,                0.39554,                0.98652,                 1.4643,                 1.2836,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.0021,                 1.6068,                 1.2734,                0.49713,                0.49684,                0.49668,                 0.3512,                 1.0771,                  1.658,                 1.3912,              0.0099604,              0.0099604,              0.0099604
                      7,                0.99035,                 1.5316,                 1.2615,                0.52717,                0.57772,                0.56419,                0.42033,                0.94755,                 1.4328,                 1.2515,              0.0099505,              0.0099505,              0.0099505
                      8,                 0.9591,                 1.4669,                 1.2437,                0.58927,                0.60712,                0.61999,                0.46435,                0.94617,                 1.2644,                 1.2494,              0.0099406,              0.0099406,              0.0099406
                      9,                0.94754,                 1.4274,                 1.2302,                0.58791,                0.59506,                0.61946,                0.46482,                0.92133,                  1.342,                 1.2131,              0.0099307,              0.0099307,              0.0099307
                     10,                0.92523,                 1.3809,                 1.2224,                0.63635,                0.63706,                0.67657,                0.51619,                0.89224,                 1.1734,                 1.2003,              0.0099208,              0.0099208,              0.0099208
                     11,                0.92346,                  1.352,                 1.2207,                 0.6427,                 0.6353,                0.67504,                0.52287,                0.87206,                 1.1326,                 1.1843,              0.0099109,              0.0099109,              0.0099109
                     12,                0.90435,                 1.3218,                 1.2037,                0.63158,                 0.6327,                 0.6685,                0.51541,                0.87181,                 1.1529,                 1.1738,               0.009901,               0.009901,               0.009901
                     13,                0.90038,                 1.2857,                 1.1982,                0.64816,                0.68702,                 0.7149,                0.55651,                 0.8605,                 1.0762,                 1.1718,              0.0098911,              0.0098911,              0.0098911
                     14,                0.88771,                 1.2443,                 1.1901,                0.67218,                0.69392,                0.72582,                0.56275,                0.86171,                 1.0521,                 1.1636,              0.0098812,              0.0098812,              0.0098812
                     15,                0.87482,                 1.2367,                 1.1847,                0.71654,                 0.6597,                0.72759,                0.56629,                0.85149,                 1.0244,                 1.1477,              0.0098713,              0.0098713,              0.0098713
                     16,                0.87436,                 1.1914,                 1.1794,                0.71373,                0.67255,                0.74047,                0.58313,                0.83262,                 1.0016,                 1.1442,              0.0098614,              0.0098614,              0.0098614
                     17,                0.85187,                 1.1769,                 1.1685,                0.66178,                0.68735,                0.72332,                0.56404,                0.84906,                 1.0482,                 1.1564,              0.0098515,              0.0098515,              0.0098515
                     18,                 0.8508,                  1.141,                 1.1669,                0.71096,                0.68353,                0.74653,                0.59085,                0.84262,                 0.9803,                 1.1571,              0.0098416,              0.0098416,              0.0098416
